date,ticker,close,Predicted Signal
2021-01-29,TGGI,0.0,0
2021-02-01,TGGI,0.0,0
2021-02-02,TGGI,0.0,0
2021-02-03,TGGI,0.0,0
2021-02-04,TGGI,0.0,0
2021-02-05,TGGI,0.0,0
2021-02-08,TGGI,0.0,0
2021-02-09,TGGI,0.0,0
2021-02-10,TGGI,0.0,0
2021-02-11,TGGI,0.0,0
2021-02-12,TGGI,0.0,0
2021-02-16,TGGI,0.0,0
2021-02-17,TGGI,0.0,0
2021-02-18,TGGI,0.0,0
2021-02-19,TGGI,0.0,0
2021-02-22,TGGI,0.0,0
2021-02-23,TGGI,0.0,0
2021-02-24,TGGI,0.0,0
2021-02-25,TGGI,0.0,0
2021-02-26,TGGI,0.0,0
2021-03-01,TGGI,0.0,0
2021-03-02,TGGI,0.0,0
2021-03-03,TGGI,0.0,0
2021-03-04,TGGI,0.0,0
2021-03-05,TGGI,0.0,0
2021-03-08,TGGI,0.0,0
2021-03-09,TGGI,0.0,0
2021-03-10,TGGI,0.0,0
2021-03-11,TGGI,0.0,0
2021-03-12,TGGI,0.0,0
2021-03-15,TGGI,0.0,0
2021-03-16,TGGI,0.0,0
2021-03-17,TGGI,0.0,0
2021-03-18,TGGI,0.0,0
2021-03-19,TGGI,0.0,0
2021-03-22,TGGI,0.0,0
2021-03-23,TGGI,0.01,0
2021-03-24,TGGI,0.01,0
2021-03-25,TGGI,0.01,0
2021-03-26,TGGI,0.01,0
2021-03-29,TGGI,0.01,0
2021-03-30,TGGI,0.01,0
2021-03-31,TGGI,0.01,0
2021-04-01,TGGI,0.01,0
2021-04-05,TGGI,0.01,0
2021-04-06,TGGI,0.0,0
2021-04-07,TGGI,0.01,0
2021-04-08,TGGI,0.01,0
2021-04-09,TGGI,0.0,0
2021-04-12,TGGI,0.0,0
2021-04-13,TGGI,0.0,0
2021-04-14,TGGI,0.0,0
2021-04-15,TGGI,0.0,0
2021-04-16,TGGI,0.0,0
2021-04-19,TGGI,0.0,0
2021-04-20,TGGI,0.0,0
2021-04-21,TGGI,0.0,0
2021-04-22,TGGI,0.0,0
2021-04-23,TGGI,0.0,0
2021-04-26,TGGI,0.0,0
2021-04-27,TGGI,0.0,0
2021-04-28,TGGI,0.0,0
2021-04-29,TGGI,0.0,0
2021-04-30,TGGI,0.0,0
2021-05-03,TGGI,0.0,0
2021-05-04,TGGI,0.0,0
2021-05-05,TGGI,0.0,0
2021-05-06,TGGI,0.0,0
2021-05-07,TGGI,0.0,0
2021-05-10,TGGI,0.0,0
2021-05-11,TGGI,0.0,0
2021-05-12,TGGI,0.0,0
2021-05-13,TGGI,0.0,0
2021-05-14,TGGI,0.0,0
2021-05-17,TGGI,0.0,0
2021-05-18,TGGI,0.0,0
2021-05-19,TGGI,0.0,0
2021-05-20,TGGI,0.0,0
2021-05-21,TGGI,0.0,0
2021-05-24,TGGI,0.0,0
2021-05-25,TGGI,0.0,0
2021-05-26,TGGI,0.0,0
2021-05-27,TGGI,0.0,0
2021-05-28,TGGI,0.0,0
2021-06-01,TGGI,0.0,0
2021-06-02,TGGI,0.0,0
2021-06-03,TGGI,0.0,0
2021-06-04,TGGI,0.0,0
2021-06-07,TGGI,0.0,0
2021-06-08,TGGI,0.0,0
2021-06-09,TGGI,0.0,0
2021-06-10,TGGI,0.0,0
2021-06-11,TGGI,0.0,0
2021-06-14,TGGI,0.0,0
2021-06-15,TGGI,0.0,0
2021-06-16,TGGI,0.0,0
2021-06-17,TGGI,0.0,0
2021-06-18,TGGI,0.0,0
2021-06-21,TGGI,0.0,0
2021-06-22,TGGI,0.0,0
2021-06-23,TGGI,0.0,0
2021-06-24,TGGI,0.0,0
2021-06-25,TGGI,0.0,0
2021-06-28,TGGI,0.0,0
2021-06-29,TGGI,0.0,0
2021-06-30,TGGI,0.0,0
2021-07-01,TGGI,0.0,0
2021-07-02,TGGI,0.0,0
2021-07-06,TGGI,0.0,0
2021-07-07,TGGI,0.0,0
2021-07-08,TGGI,0.0,0
2021-07-09,TGGI,0.0,0
2021-07-12,TGGI,0.0,0
2021-07-13,TGGI,0.0,0
2021-07-14,TGGI,0.0,0
2021-07-15,TGGI,0.0,0
2021-07-16,TGGI,0.0,0
2021-07-19,TGGI,0.0,0
2021-07-20,TGGI,0.0,0
2021-07-21,TGGI,0.0,0
2021-07-22,TGGI,0.0,0
2021-07-23,TGGI,0.0,0
2021-07-26,TGGI,0.0,0
2021-07-27,TGGI,0.0,0
2021-07-28,TGGI,0.0,0
2021-07-29,TGGI,0.0,0
2021-07-30,TGGI,0.0,0
2021-08-02,TGGI,0.0,0
2021-08-03,TGGI,0.0,0
2021-08-04,TGGI,0.0,0
2021-08-05,TGGI,0.0,0
2021-08-06,TGGI,0.0,0
2021-08-09,TGGI,0.0,0
2021-08-10,TGGI,0.0,0
2021-08-11,TGGI,0.0,0
2021-08-12,TGGI,0.01,0
2021-08-13,TGGI,0.0,0
2021-08-16,TGGI,0.0,0
2021-08-17,TGGI,0.0,0
2021-08-18,TGGI,0.0,0
2021-08-19,TGGI,0.01,0
2021-08-20,TGGI,0.0,0
2021-08-23,TGGI,0.0,0
2021-08-24,TGGI,0.0,0
2021-08-25,TGGI,0.0,0
2021-08-26,TGGI,0.0,0
2021-08-27,TGGI,0.0,0
2021-08-30,TGGI,0.0,0
2021-08-31,TGGI,0.01,0
2021-09-01,TGGI,0.01,0
2021-09-02,TGGI,0.01,0
2021-09-03,TGGI,0.01,0
2021-09-07,TGGI,0.01,0
2021-09-08,TGGI,0.01,0
2021-09-09,TGGI,0.01,0
2021-09-10,TGGI,0.01,0
2021-09-13,TGGI,0.01,0
2021-09-14,TGGI,0.01,0
2021-09-15,TGGI,0.01,0
2021-09-16,TGGI,0.01,0
2021-09-17,TGGI,0.01,0
2021-09-20,TGGI,0.01,0
2021-09-21,TGGI,0.01,0
2021-09-22,TGGI,0.02,0
2021-09-23,TGGI,0.02,0
2021-09-24,TGGI,0.02,0
2021-09-27,TGGI,0.02,0
2021-09-28,TGGI,0.01,0
2021-09-29,TGGI,0.01,0
2021-09-30,TGGI,0.01,0
2021-10-01,TGGI,0.01,0
2021-10-04,TGGI,0.01,0
2021-10-05,TGGI,0.01,0
2021-10-06,TGGI,0.01,0
2021-10-07,TGGI,0.01,0
2021-10-08,TGGI,0.01,0
2021-10-11,TGGI,0.01,0
2021-10-12,TGGI,0.01,0
2021-10-13,TGGI,0.01,0
2021-10-14,TGGI,0.01,0
2021-10-15,TGGI,0.01,0
2021-10-18,TGGI,0.01,0
2021-10-19,TGGI,0.01,0
2021-10-20,TGGI,0.01,0
2021-10-21,TGGI,0.01,0
2021-10-22,TGGI,0.01,0
2021-10-25,TGGI,0.01,0
2021-10-26,TGGI,0.01,0
2021-10-27,TGGI,0.01,0
2021-10-28,TGGI,0.01,0
2021-10-29,TGGI,0.01,0
2021-11-01,TGGI,0.01,0
2021-11-02,TGGI,0.01,0
2021-11-03,TGGI,0.02,0
2021-11-04,TGGI,0.02,0
2021-11-05,TGGI,0.02,0
2021-11-08,TGGI,0.02,0
2021-11-09,TGGI,0.03,0
2021-11-10,TGGI,0.02,0
2021-11-11,TGGI,0.02,0
2021-11-12,TGGI,0.02,0
2021-11-15,TGGI,0.02,0
2021-11-16,TGGI,0.02,0
2021-11-17,TGGI,0.02,0
2021-11-18,TGGI,0.02,0
2021-11-19,TGGI,0.02,0
2021-11-22,TGGI,0.01,0
2021-11-23,TGGI,0.02,0
2021-11-24,TGGI,0.02,0
2021-11-26,TGGI,0.02,0
2021-11-29,TGGI,0.02,0
2021-11-30,TGGI,0.02,0
2021-12-01,TGGI,0.02,0
2021-12-02,TGGI,0.02,0
2021-12-03,TGGI,0.01,0
2021-12-06,TGGI,0.01,0
2021-12-07,TGGI,0.01,0
2021-12-08,TGGI,0.02,0
2021-12-09,TGGI,0.02,0
2021-12-10,TGGI,0.02,0
2021-12-13,TGGI,0.02,0
2021-12-14,TGGI,0.02,0
2021-12-15,TGGI,0.02,0
2021-12-16,TGGI,0.02,0
2021-12-17,TGGI,0.02,0
2021-12-20,TGGI,0.02,0
2021-12-21,TGGI,0.02,0
2021-12-22,TGGI,0.02,0
2021-12-23,TGGI,0.02,0
2021-12-27,TGGI,0.02,0
2021-12-28,TGGI,0.01,0
2021-12-29,TGGI,0.02,0
2021-12-30,TGGI,0.02,0
2021-12-31,TGGI,0.02,0
2022-01-03,TGGI,0.02,0
2022-01-04,TGGI,0.02,0
2022-01-05,TGGI,0.01,0
2022-01-06,TGGI,0.02,0
2022-01-07,TGGI,0.01,0
2022-01-10,TGGI,0.01,0
2022-01-11,TGGI,0.01,0
2022-01-12,TGGI,0.01,0
2022-01-13,TGGI,0.01,0
2022-01-14,TGGI,0.01,0
2022-01-18,TGGI,0.01,0
2022-01-19,TGGI,0.01,0
2022-01-20,TGGI,0.01,0
2022-01-21,TGGI,0.01,0
2022-01-24,TGGI,0.01,0
2022-01-25,TGGI,0.01,0
2022-01-26,TGGI,0.01,0
2022-01-27,TGGI,0.01,0
2022-01-28,TGGI,0.01,0
2022-01-31,TGGI,0.01,0
2022-02-01,TGGI,0.01,0
2022-02-02,TGGI,0.01,0
2022-02-03,TGGI,0.01,0
2022-02-04,TGGI,0.01,0
2022-02-07,TGGI,0.01,0
2022-02-08,TGGI,0.01,0
2022-02-09,TGGI,0.01,0
2022-02-10,TGGI,0.01,0
2022-02-11,TGGI,0.01,0
2022-02-14,TGGI,0.01,0
2022-02-15,TGGI,0.01,0
2022-02-16,TGGI,0.02,0
2022-02-17,TGGI,0.02,0
2022-02-18,TGGI,0.02,0
2022-02-22,TGGI,0.02,0
2022-02-23,TGGI,0.02,0
2022-02-24,TGGI,0.02,0
2022-02-25,TGGI,0.02,0
2022-02-28,TGGI,0.02,0
2022-03-01,TGGI,0.02,0
2022-03-02,TGGI,0.02,0
2022-03-03,TGGI,0.02,0
2022-03-04,TGGI,0.02,0
2022-03-07,TGGI,0.02,0
2022-03-08,TGGI,0.02,0
2022-03-09,TGGI,0.02,0
2022-03-10,TGGI,0.02,0
2022-03-11,TGGI,0.02,0
2022-03-14,TGGI,0.02,0
2022-03-15,TGGI,0.02,0
2022-03-16,TGGI,0.02,0
2022-03-17,TGGI,0.02,0
2022-03-18,TGGI,0.02,0
2022-03-21,TGGI,0.02,0
2022-03-22,TGGI,0.02,0
2022-03-23,TGGI,0.02,0
2022-03-24,TGGI,0.02,0
2022-03-25,TGGI,0.02,0
2022-03-28,TGGI,0.02,0
2022-03-29,TGGI,0.02,0
2022-03-30,TGGI,0.02,0
2022-03-31,TGGI,0.02,0
2022-04-01,TGGI,0.02,0
2022-04-04,TGGI,0.02,0
2022-04-05,TGGI,0.02,0
2022-04-06,TGGI,0.02,0
2022-04-07,TGGI,0.02,0
2022-04-08,TGGI,0.02,0
2022-04-11,TGGI,0.02,0
2022-04-12,TGGI,0.01,0
2022-04-13,TGGI,0.02,0
2022-04-14,TGGI,0.01,0
2022-04-18,TGGI,0.01,0
2022-04-19,TGGI,0.01,0
2022-04-20,TGGI,0.01,0
2022-04-21,TGGI,0.01,0
2022-04-22,TGGI,0.01,0
2022-04-25,TGGI,0.01,0
2022-04-26,TGGI,0.01,0
2022-04-27,TGGI,0.01,0
2022-04-28,TGGI,0.01,0
2022-04-29,TGGI,0.01,0
2022-05-02,TGGI,0.01,0
2022-05-03,TGGI,0.01,0
2022-05-04,TGGI,0.01,0
2022-05-05,TGGI,0.01,0
2022-05-06,TGGI,0.01,0
2022-05-09,TGGI,0.01,0
2022-05-10,TGGI,0.01,0
2022-05-11,TGGI,0.01,0
2022-05-12,TGGI,0.01,0
2022-05-13,TGGI,0.01,0
2022-05-16,TGGI,0.01,0
2022-05-17,TGGI,0.01,0
2022-05-18,TGGI,0.01,0
2022-05-19,TGGI,0.01,0
2022-05-20,TGGI,0.01,0
2022-05-23,TGGI,0.01,0
2022-05-24,TGGI,0.01,0
2022-05-25,TGGI,0.01,0
2022-05-26,TGGI,0.01,0
2022-05-27,TGGI,0.01,0
2022-05-31,TGGI,0.01,0
2022-06-01,TGGI,0.01,0
2022-06-02,TGGI,0.01,0
2022-06-03,TGGI,0.01,0
2022-06-06,TGGI,0.01,0
2022-06-07,TGGI,0.01,0
2022-06-08,TGGI,0.01,0
